Name,Idade,Position,Time,Value,Gols,Assis.,xG,xAG,Bloqueios
Carlos Miguel,25,Goalkeeper,Corinthians,€4.00m,0,0,0.0,0.1,0.0
Nicolás Acevedo,25,Defensive Midfield,Bahia,€4.00m,0,0,0.0,0.2,3.0
Lucas Esquivel,22,Left-Back,Athletico Paranaense,€3.50m,0,4,0.4,4.3,28.0
Zé Gabriel,25,Defensive Midfield,Vasco da Gama,€550k,0,0,0.7999999999999999,0.0,3.0
Yago Pikachu,31,Right Winger,Fortaleza,€800k,2,4,3.7,2.0,18.0
Fabrício,38,Goalkeeper,Internacional,,0,0,0.0,0.0,0.0
Vitinho,25,Central Midfield,Red Bull Bragantino,€500k,3,3,4.6,3.1,30.0
Bruno Pacheco,32,Left-Back,Fortaleza,€250k,1,1,0.30000000000000004,0.7,11.0
Marcos Felipe,28,Goalkeeper,Bahia,€3.00m,0,0,0.0,0.0,0.0
Mauricio,22,Attacking Midfield,Internacional,€12.00m,3,0,3.9,1.7000000000000002,10.0
Alex Teixeira,34,Second Striker,Vasco da Gama,€175k,1,1,1.0,0.2,4.0
Fernando,36,Defensive Midfield,Internacional,€500k,1,1,0.30000000000000004,0.7,17.0
Gerson,26,Central Midfield,Flamengo,€18.00m,3,6,2.1,3.6,23.0
Mayke,31,Right-Back,Palmeiras,€2.00m,1,0,1.2,0.8,13.0
Allan,27,Defensive Midfield,Flamengo,€1.50m,0,1,0.0,0.5,16.0
Ivan Cavaleiro,30,Left Winger,Red Bull Bragantino,€500k,0,0,0.30000000000000004,0.1,0.0
Felipe Teresa,18,Right Winger,Flamengo,,1,0,0.3,0.0,0.0
Luis Miguel,19,Left Winger,Vitória,,0,0,0.0,0.0,0.0
Luiz Fernando,27,Left Winger,Atlético Goianiense,€1.80m,8,0,5.5,1.0,37.0
Adryelson,26,Centre-Back,Botafogo (RJ),€3.00m,1,0,0.2,0.3,5.0
Fábio,43,Goalkeeper,Fluminense,€75k,0,0,0.3,0.2,4.0
Alan Ruschel,34,Left-Back,Juventude,€100k,1,1,0.7,1.6,30.0
