Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
Carlos Miguel,641458,€4.00m,"Dec 10, 2025","Oct 9, 1998",27,2.04,Brazil,['Brazil'],Goalkeeper,,Palmeiras,,,"Aug 19, 2025","Jul 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nicolás Acevedo,625569,€4.00m,"Dec 10, 2025","Apr 14, 1999",26,1.73,Uruguay,['Uruguay'],Defensive Midfield,"                  0
0       Centre-Back
1  Central Midfield",EC Bahia,,,"Jan 3, 2025","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jean Carlos,1082600,,,"Feb 8, 2004",21,1.75,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1         Left-Back",Osasco Sporting,,,"Jan 8, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matheus Teixeira,598975,,,"Mar 8, 1999",26,1.87,Brazil,[],Goalkeeper,,Capivariano,,,"Dec 1, 2025","Mar 10, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Esquivel,829969,€3.50m,"Nov 24, 2025","Oct 14, 2001",24,1.83,Argentina,[],Left-Back,,Athletico-PR,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Lima,1116603,,,"Aug 16, 2005",20,,Brazil,['Brazil'],Centre-Back,,Fortaleza U20,,,"Aug 25, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Zé Gabriel,670968,€550k,"Dec 22, 2025","Jan 21, 1999",27,1.84,Brazil,['Brazil'],Defensive Midfield,"             0
0  Centre-Back",Sport Recife,,,"Jan 9, 2026","Nov 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Daniel Lima,965614,€500k,"Dec 8, 2025","Dec 6, 2004",21,1.86,Brazil,['Brazil'],Centre-Forward,,Zalaegerszeg,,,"Aug 30, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Charles,486078,€1.00m,"Dec 10, 2025","Jun 19, 1996",29,1.87,Brazil,['Brazil'],Central Midfield,"                    0
0  Defensive Midfield
1         Centre-Back",Corinthians,,,"Jul 24, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yago Pikachu,265660,€800k,"Dec 10, 2025","Jun 5, 1992",33,1.72,Brazil,[],Right Winger,,Remo,,,"Jan 1, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Zé Welison,323452,€1.50m,"Dec 10, 2025","Mar 11, 1995",30,1.77,Brazil,[],Defensive Midfield,,Fortaleza,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
